iter	RMSE
0	3.263805042
1	3.245025328
2	3.228138611
3	3.21193684
4	3.196710348
5	3.182040022
6	3.168286764
7	3.155697705
8	3.143590857
9	3.132509925
10	3.122111292
11	3.112544923
12	3.103563723
13	3.09497143
14	3.087063788
15	3.079642911
16	3.072543988
17	3.065877866
18	3.059759383
19	3.053909095
20	3.048529487
21	3.043374519
22	3.038557646
23	3.034047645
24	3.029808166
25	3.025718036
26	3.022082026
27	3.018600112
28	3.015339442
29	3.012350806
30	3.009500203
31	3.006832267
32	3.004321444
33	3.001970764
34	2.999698779
35	2.99764241
36	2.995756458
37	2.993962885
38	2.992273215
39	2.990723116
40	2.98927039
41	2.987880543
42	2.986605962
43	2.985411384
44	2.984268078
45	2.983158439
46	2.982178892
47	2.981241963
48	2.980382371
49	2.979576639
50	2.978809591
51	2.978059761
52	2.977385874
53	2.976766609
54	2.976178191
55	2.975624472
56	2.975108837
57	2.9746312
58	2.974157716
59	2.973734928
60	2.973337103
61	2.972969431
62	2.972605861
63	2.972283521
64	2.971977833
65	2.971691715
66	2.971426189
67	2.971175469
68	2.970940579
69	2.970721339
70	2.97051464
71	2.970477227
72	2.970440975
73	2.970251975
74	2.970074892
75	2.969908964
76	2.969752178
77	2.9696051
78	2.969462301
79	2.969328999
80	2.969209431
81	2.969097342
82	2.969078995
83	2.968974649
84	2.968876996
85	2.968785603
86	2.968697833
87	2.968614286
88	2.968538901
89	2.968465814
90	2.968400284
91	2.968338249
92	2.968325707
93	2.968312955
94	2.968303321
95	2.968294235
96	2.968236718
97	2.96822878
98	2.968174306
99	2.968123185
100	2.968077875
101	2.968035363
102	2.967995473
103	2.967987373
104	2.967949177
105	2.967914492
106	2.967881073
107	2.967874171
108	2.967843926
109	2.967837486
110	2.967806654
111	2.967780286
112	2.967774538
113	2.967747509
114	2.967724538
115	2.967700558
116	2.9676803
117	2.967659012
118	2.967641218
119	2.967639149
120	2.967637199
121	2.96762077
122	2.967605134
123	2.967603607
124	2.967589272
125	2.967585617
126	2.967570019
127	2.967566677
128	2.967554332
129	2.967542734
130	2.967529677
131	2.967519384
132	2.967509784
133	2.967507072
134	2.967496145
135	2.967493667
136	2.967491405
137	2.967489242
138	2.967479281
139	2.967471454
140	2.96746429
141	2.967457557
142	2.96745123
143	2.967445287
144	2.967444969
145	2.96744467
146	2.967444388
147	2.96743895
148	2.967437171
149	2.967436947
150	2.967430152
151	2.967425179
152	2.967420718
153	2.967419152
154	2.967414766
155	2.967413525
156	2.967412339
157	2.967408555
158	2.96740346
159	2.967400151
160	2.967396994
161	2.967395721
162	2.967395652
163	2.967392773
164	2.967388625
165	2.967384725
166	2.967384674
167	2.967383577
168	2.967383531
169	2.967381141
170	2.967377671
171	2.967375355
172	2.967375323
173	2.96737316
174	2.967371372
175	2.967370691
176	2.967369747
177	2.967368021
178	2.967365341
179	2.967364496
180	2.967362015
181	2.967360435
182	2.967359667
183	2.967357471
184	2185	2.94628185	2.967354953
186	2.967354307
187	188	2.946286188189	2.9462850189190	2.9462850190191	2.9462842191192	2.946283419193	2.9462826219194	2.9462819519195	2.9462812519196	2.9462806019197	2.9462805919198	2.946279991199	2.946279423
200	2.946278893
201	2.946278884
202	2.946278437
203	2.94627843
204	2.946278015
205	2.946278008
206	2.946278002
207	2.946277996
208	2.9462776092209	2.946277198
210	2.946276812
211	2.946276497
212	2.946276494
213	2.9462762
214	2.946275882
215	2.946275878
216	2.946275579
217	2.946275301
218	2.94627504
219	2.946275037
220	2.946274793
221	2.946274791
222	2.946274563
223	2.94627456
224	2.946274348
225	2.946274346
226	2.946274149
227	2.946274146
228	2.946273962
229	2.946273788
230	2.946273786
231	2.946273625
232	2.946273623
233	2.946273494
234	2.946273494
235	2.946273352
236	2.94627335
237	2.946273218
238	2.946273093
239	2.946273091
240	2.946272976
241	2.946272974
242	2.946272973
243	2.946272882
244	2.946272881
245	2.946272879
246	2.946272878
247	2.946272775
248	2.946272774
249	2.946272678
250	2.946272588
251	2.946272505
252	2.946272427
253	2.946272426
254	2.946272353
255	2.946272352
256	2.946272296
257	2.946272295
258	2.94627223
259	2.946272229
260	2.946272169
261	2.946272113
262	2.94627206
263	2.94627202
264	2.94627202
265	2.946271974
266	2.946271939
267	2.946271938
268	2.946271938
269	2.946271938
270	2.946271937
271	2.946271896
272	2.946271857
273	2.946271821
274	2.946271788
275	2.946271756
276	2.946271756
277	2.946271727
278	2.9462717
279	2.946271681
280	2.946271656
281	2.946271656
282	2.946271633
283	2.946271633
284	2.946271633
285	2.946271611
286	2.946271592
287	2.946271573
288	2.946271573
289	2.946271573
290	2.946271556
291	2.946271555
292	2.946271539
293	2.946271539
294	2.946271528
295	2.946271513
296	2.9462715
297	2.946271487
298	2.946271476
299	2.946271465
300	2.946271454
301	2.946271447
302	2.946271438
303	2.946271438
304	2.946271429
305	2.946271423
306	2.946271416
307	2.946271415
308	2.946271408
309	2.946271402
310	2.946271401
311	2.946271395
312	2.946271395
313	2.946271389
314	2.946271384
315	2.946271384
316	2.946271379
317	2.946271374
318	2.94627137
319	2.946271366
320	2.946271363
321	2.946271359
322	2.946271356
323	2.946271353
324	2.94627135
325	2.946271348
326	2.946271345
327	2.946271345
328	2.946271342
329	2.94627134
330	2.946271338
331	2.946271336
332	2.946271336
333	2.946271334
334	2.946271333
335	2.946271331
336	2.946271329
337	2.946271328
338	2.946271327
339	2.946271326
340	2.946271326
341	2.946271324
342	2.946271323
343	2.946271322
344	2.946271321
345	2.94627132
346	2.94627132
347	2.946271319
348	2.946271318
349	2.946271318
350	2.946271317
351	2.946271316
352	2.946271316
353	2.946271315
354	2.946271315
355	2.946271314
356	2.946271314
357	2.946271313
358	2.946271313
359	2.946271313
360	2.946271312
361	2.946271312
362	2.946271312
363	2.946271312
364	2.946271311
365	2.946271311
366	2.946271311
367	2.946271311
368	2.94627131
369	2.94627131
370	2.94627131
371	2.94627131
372	2.946271309
373	2.946271309
374	2.946271309
375	2.946271309
376	2.946271309
377	2.946271309
378	2.946271309
379	2.946271309
380	2.946271309
381	2.946271308
382	2.946271308
383	2.946271308
384	2.946271308
385	2.946271308
386	2.946271308
387	2.946271308
388	2.946271308
389	2.946271308
390	2.946271308
391	2.946271308
392	2.946271307
393	2.946271307
394	2.946271307
395	2.946271307
396	2.946271307
397	2.946271307
398	2.946271307
399	2.946271307
400	2.946271307
401	2.946271307
402	2.946271307
403	2.946271307
404	2.946271307
405	2.946271307
406	2.946271307
407	2.946271307
408	2.946271307
409	2.946271307
410	2.946271307
411	2.946271307
412	2.946271307
413	2.946271307
414	2.946271307
415	2.946271307
416	2.946271307
417	2.946271307
418	2.946271307
419	2.946271307
420	2.946271307
421	2.946271307
422	2.946271307
423	2.946271307
424	2.946271307
425	2.946271307
426	2.946271307
427	2.946271307
428	2.946271307
429	2.946271307
430	2.946271307
431	2.946271307
432	2.946271307
433	2.946271307
434	2.946271307
435	2.946271307
436	2.946271307
437	2.946271307
438	2.946271307
439	2.946271307
440	2.946271307
441	2.946271307
442	2.946271307
443	2.946271307
444	2.946271307
445	2.946271307
446	2.946271307
447	2.946271307
448	2.946271307
449	2.946271307
450	2.946271307
451	2.946271307
452	2.946271307
453	2.946271307
454	2.946271307
455	2.946271307
456	2.946271307
457	2.946271307
458	2.946271307
459	2.946271307
460	2.946271307
461	2.946271307
462	2.946271307
463	2.946271307
464	2.946271307
465	2.946271307
466	2.946271307
467	2.946271307
468	2.946271307
469	2.946271307
470	2.946271307
471	2.946271307
472	2.946271307
473	2.946271307
474	2.946271307
475	2.946271307
476	2.946271307
477	2.946271307
478	2.946271307
